frequency_hz,frequency_ghz,wavelength_m,cback_m2,rcs_normalized
5.216000000000000000e+09,5.216000000000000192e+00,5.747554792944785385e-02,2.731522434232253396e-02,3.862768494309045016e-03
5.232000000000000000e+09,5.232000000000000206e+00,5.729978172782874274e-02,3.562922027951399839e-02,5.038487981929623029e-03
5.248000000000000000e+09,5.248000000000000220e+00,5.712508727134146119e-02,2.373254181110832049e-03,3.356125274643328429e-04
5.264000000000000000e+09,5.264000000000000234e+00,5.695145478723404042e-02,4.367969909452015798e-02,6.176942330354136777e-03
5.280000000000000000e+09,5.280000000000000249e+00,5.677887462121212342e-02,8.177249661369201394e-02,1.156381582892411324e-02
5.296000000000000000e+09,5.296000000000000263e+00,5.660733723564954911e-02,6.039313031156555781e-03,8.540463666584717202e-04
5.312000000000000000e+09,5.312000000000000277e+00,5.643683320783132729e-02,8.309593489996128235e-02,1.175096917799774675e-02
5.328000000000000000e+09,5.328000000000000291e+00,5.626735322822822710e-02,1.038202658999248379e-01,1.468168985775639666e-02
5.344000000000000000e+09,5.344000000000000306e+00,5.609888809880239635e-02,8.548589217815620242e-03,1.208894376540217913e-03
5.360000000000000000e+09,5.360000000000000320e+00,5.593142873134328286e-02,9.825199996678854464e-02,1.389425637579421238e-02
5.376000000000000000e+09,5.376000000000000334e+00,5.576496614583333067e-02,7.877689650663781407e-02,1.114019457031526460e-02
5.392000000000000000e+09,5.392000000000000348e+00,5.559949146884272941e-02,3.017662908263778372e-03,4.267412583694419020e-04
5.408000000000000000e+09,5.408000000000000362e+00,5.543499593195266167e-02,6.784011597891576040e-02,9.593575339873851304e-03
5.424000000000000000e+09,5.424000000000000377e+00,5.527147087020648636e-02,3.531566532874965553e-02,4.994146768770685654e-03
5.440000000000000000e+09,5.440000000000000391e+00,5.510890772058823356e-02,5.755108283785982659e-03,8.138556975166796621e-04
5.456000000000000000e+09,5.456000000000000405e+00,5.494729802052785578e-02,2.012518198075844908e-02,2.845992327328618517e-03
5.472000000000000000e+09,5.472000000000000419e+00,5.478663340643274982e-02,3.247975007593438546e-02,4.593107262236877097e-03
5.488000000000000000e+09,5.488000000000000433e+00,5.462690561224489705e-02,3.407940883363371615e-02,4.819322188149549775e-03
5.504000000000000000e+09,5.503999999999999559e+00,5.446810646802325434e-02,1.724648872402893482e-03,2.438903391227675171e-04
5.520000000000000000e+09,5.519999999999999574e+00,5.431022789855072253e-02,9.201419917242326107e-02,1.301214096351415404e-02
5.536000000000000000e+09,5.535999999999999588e+00,5.415326192196531774e-02,7.051117436591290699e-02,9.971301696957663580e-03
5.552000000000000000e+09,5.551999999999999602e+00,5.399720064841498357e-02,2.233586170976053706e-02,3.158614471711520665e-03
5.568000000000000000e+09,5.567999999999999616e+00,5.384203627873563464e-02,1.573844689584313061e-01,2.225644426592679470e-02
5.584000000000000000e+09,5.583999999999999631e+00,5.368776110315186256e-02,7.094314649079400126e-02,1.003238881429189752e-02
5.600000000000000000e+09,5.599999999999999645e+00,5.353436749999999911e-02,4.483166687021354624e-02,6.339847264783437381e-03
5.616000000000000000e+09,5.615999999999999659e+00,5.338184793447293269e-02,1.486172066344227383e-01,2.101662634380009262e-02
5.632000000000000000e+09,5.631999999999999673e+00,5.323019495738636614e-02,2.834614259705684966e-02,4.008555272579275575e-03
5.648000000000000000e+09,5.647999999999999687e+00,5.307940120396600903e-02,3.890733179312436119e-02,5.502060446754167104e-03
5.664000000000000000e+09,5.663999999999999702e+00,5.292945939265536470e-02,6.750536323387382187e-02,9.546236451467654538e-03
